local_entity_key,geo_entity_id,type_key,name_or_title,slug,description,source_file,json_pointer
continuum:small-schools-personalization-vs-comprehensive-breadth,,continuum_position,Small schools/personalization vs comprehensive breadth continuum,small-schools-personalization-vs-comprehensive-breadth,"NYC small schools are a serious positive case, but smallness itself is not the whole mechanism.",content/dichotomies.json,$[?slug=='small-schools-personalization-vs-comprehensive-breadth'].continuum
continuum:standardization-accountability-vs-professional-autonomy,,continuum_position,Standardization/accountability vs professional autonomy continuum,standardization-accountability-vs-professional-autonomy,"Transparent standards and measurement help, but high-stakes systems narrow behavior and invite gaming.",content/dichotomies.json,$[?slug=='standardization-accountability-vs-professional-autonomy'].continuum
continuum:teacher-incentives-evaluation-vs-trust-professionalism,,continuum_position,Teacher incentives/evaluation vs trust/professionalism continuum,teacher-incentives-evaluation-vs-trust-professionalism,"Measurement can help, but coaching has more consistent developmental evidence than simple merit pay.",content/dichotomies.json,$[?slug=='teacher-incentives-evaluation-vs-trust-professionalism'].continuum
continuum:tracking-acceleration-vs-detracking-inclusion,,continuum_position,Tracking/acceleration vs detracking/inclusion continuum,tracking-acceleration-vs-detracking-inclusion,"Detracking without support can fail, while tracking can institutionalize low expectations.",content/dichotomies.json,$[?slug=='tracking-acceleration-vs-detracking-inclusion'].continuum
continuum:whole-language-balanced-literacy-vs-phonics-science-of-reading,,continuum_position,Whole language / balanced literacy vs phonics / Science of Reading continuum,whole-language-balanced-literacy-vs-phonics-science-of-reading,"Strongly favors explicit code instruction, while keeping vocabulary, fluency, comprehension, and background knowledge in the model.",content/dichotomies.json,$[?slug=='whole-language-balanced-literacy-vs-phonics-science-of-reading'].continuum
dichotomy:bilingual-dual-language-vs-english-immersion,,dichotomy,Bilingual dual-language vs English immersion,bilingual-dual-language-vs-english-immersion,"What is the time horizon, and are we measuring English-only achievement or biliteracy plus academics?",content/dichotomies.json,$[?slug=='bilingual-dual-language-vs-english-immersion']
dichotomy:central-curriculum-hqim-vs-teacher-created-materials,,dichotomy,Central curriculum / HQIM vs teacher-created materials,central-curriculum-hqim-vs-teacher-created-materials,What adaptations preserve the high-leverage content and task quality of the curriculum?,content/dichotomies.json,$[?slug=='central-curriculum-hqim-vs-teacher-created-materials']
dichotomy:choice-markets-vs-common-public-system,,dichotomy,Choice/markets vs common public system,choice-markets-vs-common-public-system,"What school model and accountability system is being chosen, not just what governance label?",content/dichotomies.json,$[?slug=='choice-markets-vs-common-public-system']
dichotomy:college-for-all-vs-cte-career-pathways,,dichotomy,College-for-all vs CTE/career pathways,college-for-all-vs-cte-career-pathways,"Are students getting portable credentials, academic rigor, and real postsecondary options?",content/dichotomies.json,$[?slug=='college-for-all-vs-cte-career-pathways']
dichotomy:data-driven-continuous-improvement-vs-big-bang-reform,,dichotomy,Data-driven continuous improvement vs big-bang reform,data-driven-continuous-improvement-vs-big-bang-reform,"What problem is narrow enough for CI, and when is structural redesign required?",content/dichotomies.json,$[?slug=='data-driven-continuous-improvement-vs-big-bang-reform']
dichotomy:direct-instruction-vs-inquiry-project-based-learning,,dichotomy,Direct instruction vs inquiry/project-based learning,direct-instruction-vs-inquiry-project-based-learning,"For which content, prior knowledge level, and assessment type does inquiry beat explicit teaching?",content/dichotomies.json,$[?slug=='direct-instruction-vs-inquiry-project-based-learning']
dichotomy:discipline-order-vs-restorative-relational-climate,,dichotomy,Discipline/order vs restorative/relational climate,discipline-order-vs-restorative-relational-climate,How do we reduce exclusion while preserving safety and time-on-task?,content/dichotomies.json,$[?slug=='discipline-order-vs-restorative-relational-climate']
dichotomy:early-academics-vs-play-based-pre-k,,dichotomy,Early academics vs play-based pre-K,early-academics-vs-play-based-pre-k,Which adult-child interactions and curricula produce both readiness and later well-being?,content/dichotomies.json,$[?slug=='early-academics-vs-play-based-pre-k']
dichotomy:human-tutoring-vs-ai-tutoring,,dichotomy,Human tutoring vs AI tutoring,human-tutoring-vs-ai-tutoring,Can AI raise dosage or teacher capacity without replacing high-value human interaction?,content/dichotomies.json,$[?slug=='human-tutoring-vs-ai-tutoring']
dichotomy:integration-desegregation-vs-neighborhood-local-control,,dichotomy,Integration/desegregation vs neighborhood/local control,integration-desegregation-vs-neighborhood-local-control,"Which student outcomes count: achievement, opportunity, civic contact, safety, or legitimacy?",content/dichotomies.json,$[?slug=='integration-desegregation-vs-neighborhood-local-control']
dichotomy:knowledge-rich-curriculum-vs-generic-skills,,dichotomy,Knowledge-rich curriculum vs generic skills,knowledge-rich-curriculum-vs-generic-skills,What content sequence gives students the background knowledge needed to transfer skills?,content/dichotomies.json,$[?slug=='knowledge-rich-curriculum-vs-generic-skills']
dichotomy:more-money-resources-vs-money-does-not-matter,,dichotomy,More money/resources vs 'money does not matter',more-money-resources-vs-money-does-not-matter,Which marginal dollars buy the highest-value inputs in this context?,content/dichotomies.json,$[?slug=='more-money-resources-vs-money-does-not-matter']
dichotomy:remediation-readiness-vs-grade-level-acceleration,,dichotomy,Remediation/readiness vs grade-level acceleration,remediation-readiness-vs-grade-level-acceleration,What support lets students succeed in grade-level content without tracking them into low expectations?,content/dichotomies.json,$[?slug=='remediation-readiness-vs-grade-level-acceleration']
dichotomy:screens-harm-development-vs-technology-enables-learning,,dichotomy,Screens harm development vs technology enables learning,screens-harm-development-vs-technology-enables-learning,"What adult-guided task, for which learner, replaces what prior activity, and with what measured learning gain?",content/dichotomies.json,$[?slug=='screens-harm-development-vs-technology-enables-learning']
dichotomy:seat-time-vs-mastery,,dichotomy,Seat time vs mastery,seat-time-vs-mastery,What external outcomes verify mastery when internal grades are redesigned?,content/dichotomies.json,$[?slug=='seat-time-vs-mastery']
dichotomy:sel-whole-child-vs-academics-first,,dichotomy,SEL/whole-child vs academics-first,sel-whole-child-vs-academics-first,Which nonacademic supports measurably increase instructional engagement and persistence?,content/dichotomies.json,$[?slug=='sel-whole-child-vs-academics-first']
dichotomy:small-schools-personalization-vs-comprehensive-breadth,,dichotomy,Small schools/personalization vs comprehensive breadth,small-schools-personalization-vs-comprehensive-breadth,"Which functions need smallness, and which can be shared across a larger system?",content/dichotomies.json,$[?slug=='small-schools-personalization-vs-comprehensive-breadth']
dichotomy:standardization-accountability-vs-professional-autonomy,,dichotomy,Standardization/accountability vs professional autonomy,standardization-accountability-vs-professional-autonomy,Which outcomes should be common and which decisions should remain local?,content/dichotomies.json,$[?slug=='standardization-accountability-vs-professional-autonomy']
dichotomy:teacher-incentives-evaluation-vs-trust-professionalism,,dichotomy,Teacher incentives/evaluation vs trust/professionalism,teacher-incentives-evaluation-vs-trust-professionalism,"Which measures are for development, which for personnel decisions, and how are errors handled?",content/dichotomies.json,$[?slug=='teacher-incentives-evaluation-vs-trust-professionalism']
dichotomy:tracking-acceleration-vs-detracking-inclusion,,dichotomy,Tracking/acceleration vs detracking/inclusion,tracking-acceleration-vs-detracking-inclusion,How do schools preserve rigor and access while giving different students different supports?,content/dichotomies.json,$[?slug=='tracking-acceleration-vs-detracking-inclusion']
dichotomy:whole-language-balanced-literacy-vs-phonics-science-of-reading,,dichotomy,Whole language / balanced literacy vs phonics / Science of Reading,whole-language-balanced-literacy-vs-phonics-science-of-reading,How do we guarantee code mastery without narrowing reading to decoding drills?,content/dichotomies.json,$[?slug=='whole-language-balanced-literacy-vs-phonics-science-of-reading']
dossier:education-evidence-dossier,,dossier,Education Evidence Dossier,education-evidence-dossier,"Evidence graph for U.S. education reform dichotomies, initiatives, methods, sources, and synthesis claims.",README.md,
evidence_strength:limited-descriptive,,evidence_strength,Limited/descriptive,limited-descriptive,"Trend, implementation, or descriptive evidence without strong causal identification.",src/lib/evidence-normalization.ts,
evidence_strength:mixed-conditional,,evidence_strength,Mixed/conditional,mixed-conditional,"Effects vary by outcome, implementation, setting, or student group.",src/lib/evidence-normalization.ts,
evidence_strength:not-outcome-intervention,,evidence_strength,Not an outcome intervention,not-outcome-intervention,A framework or infrastructure item rather than a direct student intervention.,src/lib/evidence-normalization.ts,
evidence_strength:promising-causal-quasi,,evidence_strength,Promising causal/quasi,promising-causal-quasi,Credible causal or quasi-causal evidence with narrower scope or replication limits.,src/lib/evidence-normalization.ts,
evidence_strength:strong-causal,,evidence_strength,Strong causal,strong-causal,Multiple strong causal designs or unusually clear outcome evidence.,src/lib/evidence-normalization.ts,
initiative:a-nation-at-risk-modern-standards-movement,,initiative,A Nation at Risk / modern standards movement,a-nation-at-risk-modern-standards-movement,"Important agenda-setting reform, but not a discrete intervention with clean causal estimates.",content/initiatives.json,$[?slug=='a-nation-at-risk-modern-standards-movement']
initiative:adaptive-and-personalized-learning-platforms,,initiative,Adaptive and personalized learning platforms,adaptive-and-personalized-learning-platforms,Effects range from positive to null; platforms work best as part of coherent instruction rather than stand-alone screen time.,content/initiatives.json,$[?slug=='adaptive-and-personalized-learning-platforms']
initiative:algebra-for-all-college-preparatory-curriculum-for-all,,initiative,Algebra for All / college-preparatory curriculum for all,algebra-for-all-college-preparatory-curriculum-for-all,The Chicago case reduced course-taking inequities but increased failures and did not clearly improve achievement or college outcomes.,content/initiatives.json,$[?slug=='algebra-for-all-college-preparatory-curriculum-for-all']
initiative:attendance-and-chronic-absenteeism-interventions,,initiative,Attendance and chronic absenteeism interventions,attendance-and-chronic-absenteeism-interventions,"Attendance is a crucial mediator after COVID, but interventions vary from low-cost nudges to intensive case management.",content/initiatives.json,$[?slug=='attendance-and-chronic-absenteeism-interventions']
initiative:avid-and-college-readiness-support-models,,initiative,AVID and college-readiness support models,avid-and-college-readiness-support-models,"Widely used and plausible, but causal evidence is less clean than for early college lotteries.",content/initiatives.json,$[?slug=='avid-and-college-readiness-support-models']
initiative:balanced-literacy-workshop-models,,initiative,Balanced literacy / workshop models,balanced-literacy-workshop-models,"Popular and influential, but evidence concerns about weak systematic decoding instruction drove many recent curriculum changes.",content/initiatives.json,$[?slug=='balanced-literacy-workshop-models']
initiative:boston-universal-pre-k,,initiative,Boston universal pre-K,boston-universal-pre-k,Shows that test-score fadeout can coexist with meaningful long-run gains in college and discipline outcomes.,content/initiatives.json,$[?slug=='boston-universal-pre-k']
initiative:career-academies,,initiative,Career Academies,career-academies,"One of the strongest CTE-related causal studies, with notable long-run earnings effects especially for young men.",content/initiatives.json,$[?slug=='career-academies']
initiative:charter-schools-overall,,initiative,Charter schools overall,charter-schools-overall,"Charter effects are highly heterogeneous: urban/no-excuses and some CMOs show strong gains, while many charters are neutral or weaker.",content/initiatives.json,$[?slug=='charter-schools-overall']
initiative:common-core-state-standards-and-aligned-assessments,,initiative,Common Core State Standards and aligned assessments,common-core-state-standards-and-aligned-assessments,Implementation was uneven; evidence does not support the idea that standards alone generate large achievement gains.,content/initiatives.json,$[?slug=='common-core-state-standards-and-aligned-assessments']
initiative:community-schools-nyc-community-schools,,initiative,Community schools / NYC Community Schools,community-schools-nyc-community-schools,"Evidence is promising for attendance and some academic outcomes, but the model is complex and slower-moving than a single curriculum change.",content/initiatives.json,$[?slug=='community-schools-nyc-community-schools']
initiative:competency-based-mastery-based-learning,,initiative,Competency-based / mastery-based learning,competency-based-mastery-based-learning,Philosophically important but evidence remains heterogeneous and tied to local implementation.,content/initiatives.json,$[?slug=='competency-based-mastery-based-learning']
initiative:core-knowledge-knowledge-rich-curriculum,,initiative,Core Knowledge / knowledge-rich curriculum,core-knowledge-knowledge-rich-curriculum,"Recent causal work finds promising long-term reading gains, supporting a content-rich view of comprehension.",content/initiatives.json,$[?slug=='core-knowledge-knowledge-rich-curriculum']
initiative:dc-impact-teacher-evaluation-with-consequences,,initiative,DC IMPACT / teacher evaluation with consequences,dc-impact-teacher-evaluation-with-consequences,"More consequential evaluation can change teacher performance and composition, but sustainability and trust are central concerns.",content/initiatives.json,$[?slug=='dc-impact-teacher-evaluation-with-consequences']
initiative:direct-instruction-project-follow-through,,initiative,Direct Instruction / Project Follow Through,direct-instruction-project-follow-through,A major counterexample to claims that highly explicit instruction is inherently low-level.,content/initiatives.json,$[?slug=='direct-instruction-project-follow-through']
initiative:dual-enrollment-ap-and-advanced-coursework-expansion,,initiative,Dual enrollment / AP and advanced coursework expansion,dual-enrollment-ap-and-advanced-coursework-expansion,"Advanced access can help, but expansion must track pass rates, credit quality, and whether support keeps up with access.",content/initiatives.json,$[?slug=='dual-enrollment-ap-and-advanced-coursework-expansion']
initiative:early-college-high-schools,,initiative,Early College High Schools,early-college-high-schools,"One of the strongest causal postsecondary-readiness models, with positive impacts on college enrollment and degree attainment.",content/initiatives.json,$[?slug=='early-college-high-schools']
initiative:essa-evidence-tiers-and-evidence-based-intervention-requirements,,initiative,ESSA evidence tiers and evidence-based intervention requirements,essa-evidence-tiers-and-evidence-based-intervention-requirements,"Useful infrastructure for comparing studies, but it does not itself improve learning without good implementation.",content/initiatives.json,$[?slug=='essa-evidence-tiers-and-evidence-based-intervention-requirements']
initiative:esser-and-pandemic-recovery-initiatives,,initiative,ESSER and pandemic recovery initiatives,esser-and-pandemic-recovery-initiatives,"Relief funding appears to have aided recovery in many places, but which components drove gains varies by district.",content/initiatives.json,$[?slug=='esser-and-pandemic-recovery-initiatives']
initiative:extended-learning-time-longer-day-or-year,,initiative,Extended learning time / longer day or year,extended-learning-time-longer-day-or-year,"Additional time has generally positive but context-sensitive effects, often small to moderate depending on dosage and use.",content/initiatives.json,$[?slug=='extended-learning-time-longer-day-or-year']
initiative:family-engagement-and-parent-information-interventions,,initiative,Family engagement and parent information interventions,family-engagement-and-parent-information-interventions,"Information interventions can be cost-effective, but family engagement is not a substitute for strong instruction.",content/initiatives.json,$[?slug=='family-engagement-and-parent-information-interventions']
initiative:four-day-school-week,,initiative,Four-day school week,four-day-school-week,"Evidence is mixed and often negative when total learning time drops, making it a cautionary time-policy case.",content/initiatives.json,$[?slug=='four-day-school-week']
initiative:full-day-kindergarten,,initiative,Full-day kindergarten,full-day-kindergarten,"Often improves short-run early skills, but durability varies with subsequent instruction quality.",content/initiatives.json,$[?slug=='full-day-kindergarten']
initiative:gates-funded-small-high-schools-nyc-small-schools-of-choice,,initiative,Gates-funded small high schools / NYC Small Schools of Choice,gates-funded-small-high-schools-nyc-small-schools-of-choice,"NYC small schools produced meaningful graduation gains, showing school design can matter when implementation and choice systems align.",content/initiatives.json,$[?slug=='gates-funded-small-high-schools-nyc-small-schools-of-choice']
initiative:gates-intensive-partnerships-for-effective-teaching,,initiative,Gates Intensive Partnerships for Effective Teaching,gates-intensive-partnerships-for-effective-teaching,The initiative did not deliver broad expected student achievement gains despite major investment and implementation effort.,content/initiatives.json,$[?slug=='gates-intensive-partnerships-for-effective-teaching']
initiative:gates-measures-of-effective-teaching-project,,initiative,Gates Measures of Effective Teaching Project,gates-measures-of-effective-teaching-project,"Influential for teacher evaluation design, but not itself a school improvement program.",content/initiatives.json,$[?slug=='gates-measures-of-effective-teaching-project']
initiative:gates-networks-for-school-improvement,,initiative,Gates Networks for School Improvement,gates-networks-for-school-improvement,"The final evaluation found promising effects on some targeted outcomes, with engagement and CI fidelity tied to stronger results.",content/initiatives.json,$[?slug=='gates-networks-for-school-improvement']
initiative:gates-personalized-learning-next-generation-learning-challenges,,initiative,Gates personalized learning / Next Generation Learning Challenges,gates-personalized-learning-next-generation-learning-challenges,"Early RAND evidence was promising, but heterogeneity and later critiques caution against treating personalized learning as one proven model.",content/initiatives.json,$[?slug=='gates-personalized-learning-next-generation-learning-challenges']
initiative:generative-ai-tutoring-and-ai-school-pilots,,initiative,Generative AI tutoring and AI-school pilots,generative-ai-tutoring-and-ai-school-pilots,"Treat AI as an emerging tool, not a proven replacement for teacher-led instruction or high-dosage tutoring.",content/initiatives.json,$[?slug=='generative-ai-tutoring-and-ai-school-pilots']
initiative:goals-2000-standards-based-reform,,initiative,Goals 2000 / standards-based reform,goals-2000-standards-based-reform,Helped institutionalize standards-based reform but evidence is mostly indirect.,content/initiatives.json,$[?slug=='goals-2000-standards-based-reform']
initiative:harlem-children-s-zone-promise-neighborhoods,,initiative,Harlem Children's Zone / Promise Neighborhoods,harlem-children-s-zone-promise-neighborhoods,"The strongest measured gains often come from the school component, while broader place-based effects are harder to isolate.",content/initiatives.json,$[?slug=='harlem-children-s-zone-promise-neighborhoods']
initiative:head-start,,initiative,Head Start,head-start,The national RCT found early positive impacts with substantial fadeout on many early academic measures.,content/initiatives.json,$[?slug=='head-start']
initiative:high-dosage-tutoring,,initiative,High-dosage tutoring,high-dosage-tutoring,"One of the strongest short-run academic interventions when frequent, sustained, curriculum-aligned, and attended.",content/initiatives.json,$[?slug=='high-dosage-tutoring']
initiative:high-quality-instructional-materials-initiatives,,initiative,High-quality instructional materials initiatives,high-quality-instructional-materials-initiatives,"Materials matter, but effects depend heavily on supports and classroom use.",content/initiatives.json,$[?slug=='high-quality-instructional-materials-initiatives']
initiative:magnet-schools-and-controlled-choice-desegregation-plans,,initiative,Magnet schools and controlled choice/desegregation plans,magnet-schools-and-controlled-choice-desegregation-plans,"Magnet effects depend on theme quality, selection, transportation, and whether integration is treated as an outcome or mechanism.",content/initiatives.json,$[?slug=='magnet-schools-and-controlled-choice-desegregation-plans']
initiative:mississippi-literacy-based-promotion-act-mississippi-miracle,,initiative,Mississippi Literacy-Based Promotion Act / 'Mississippi miracle',mississippi-literacy-based-promotion-act-mississippi-miracle,"Mississippi is one of the most cited recent literacy success cases, but the causal mechanism is a policy bundle rather than one isolated program.",content/initiatives.json,$[?slug=='mississippi-literacy-based-promotion-act-mississippi-miracle']
initiative:modern-cte-pathways-and-concentrator-programs,,initiative,Modern CTE pathways and concentrator programs,modern-cte-pathways-and-concentrator-programs,"Evidence is increasingly positive for completion and college/career readiness, but quality varies by pathway.",content/initiatives.json,$[?slug=='modern-cte-pathways-and-concentrator-programs']
initiative:national-board-certification-and-advanced-credentials,,initiative,National Board Certification and advanced credentials,national-board-certification-and-advanced-credentials,"Credentials can signal quality, but the policy question is whether incentives change who teaches where.",content/initiatives.json,$[?slug=='national-board-certification-and-advanced-credentials']
initiative:national-reading-panel-synthesis,,initiative,National Reading Panel synthesis,national-reading-panel-synthesis,It became the foundation for much of the phonics/science-of-reading policy debate.,content/initiatives.json,$[?slug=='national-reading-panel-synthesis']
initiative:no-child-left-behind,,initiative,No Child Left Behind,no-child-left-behind,"Evidence points to some math gains, weaker reading effects, and substantial incentives to narrow curriculum or game thresholds.",content/initiatives.json,$[?slug=='no-child-left-behind']
initiative:no-excuses-charter-networks-and-high-performing-cmos,,initiative,No-excuses charter networks and high-performing CMOs,no-excuses-charter-networks-and-high-performing-cmos,"Some networks generate large test-score gains, but the debate is about replication, student experience, and which mechanisms matter.",content/initiatives.json,$[?slug=='no-excuses-charter-networks-and-high-performing-cmos']
initiative:one-to-one-devices-laptop-initiatives,,initiative,One-to-one devices / laptop initiatives,one-to-one-devices-laptop-initiatives,"Meta-analytic evidence shows some positive average effects, but technology access alone is not an instructional model.",content/initiatives.json,$[?slug=='one-to-one-devices-laptop-initiatives']
initiative:pbis-mtss-behavior-systems,,initiative,PBIS / MTSS behavior systems,pbis-mtss-behavior-systems,Good evidence for behavior/climate improvements; academic effects are often indirect through instructional time.,content/initiatives.json,$[?slug=='pbis-mtss-behavior-systems']
initiative:perry-preschool-abecedarian-style-intensive-early-childhood,,initiative,Perry Preschool / Abecedarian-style intensive early childhood,perry-preschool-abecedarian-style-intensive-early-childhood,"Classic studies show large long-run benefits, but they are not evidence that every scaled pre-K program will replicate them.",content/initiatives.json,$[?slug=='perry-preschool-abecedarian-style-intensive-early-childhood']
initiative:private-school-vouchers-dc-and-louisiana-examples,,initiative,Private school vouchers / DC and Louisiana examples,private-school-vouchers-dc-and-louisiana-examples,DC and Louisiana show why voucher evidence cannot be generalized: non-test outcomes may improve in some contexts while test scores can fall in others.,content/initiatives.json,$[?slug=='private-school-vouchers-dc-and-louisiana-examples']
initiative:project-based-learning-and-inquiry-oriented-reform,,initiative,Project-based learning and inquiry-oriented reform,project-based-learning-and-inquiry-oriented-reform,"PBL is strongest when content-rich, well-scaffolded, and assessed on more than generic engagement.",content/initiatives.json,$[?slug=='project-based-learning-and-inquiry-oriented-reform']
initiative:project-star-class-size-reduction,,initiative,Project STAR / class-size reduction,project-star-class-size-reduction,"Small early classes produced lasting benefits, but broad policy is expensive and sensitive to teacher labor supply.",content/initiatives.json,$[?slug=='project-star-class-size-reduction']
